importId;name;code;workshopStockLocation_name;company_code;statusSelect;product_code
;PP 7082-1 TICKY TICKI  2XS NEGRO;PP-7082-1;Main Workshop;BASE;3;7082-1
;PP 7082-2 TICKY TICKI  XS NEGRO;PP-7082-2;Main Workshop;BASE;3;7082-2
;PP 7082-3 TICKY TICKI  S NEGRO;PP-7082-3;Main Workshop;BASE;3;7082-3
;PP 7082-4 TICKY TICKI  M NEGRO;PP-7082-4;Main Workshop;BASE;3;7082-4
;PP 7082-5 TICKY TICKI  L NEGRO;PP-7082-5;Main Workshop;BASE;3;7082-5
;PP 7082-6 TICKY TICKI  XL NEGRO;PP-7082-6;Main Workshop;BASE;3;7082-6
;PP 7082-7 TICKY TICKI  2XL NEGRO;PP-7082-7;Main Workshop;BASE;3;7082-7
;PP 7082-8 TICKY TICKI  3XL NEGRO;PP-7082-8;Main Workshop;BASE;3;7082-8
;PP 7082-9 TICKY TICKI  4XL NEGRO;PP-7082-9;Main Workshop;BASE;3;7082-9
;PP 7082-10 TICKY TICKI  5XL NEGRO;PP-7082-10;Main Workshop;BASE;3;7082-10
;PP 7084-1 SHORT ELA 2XS NEGRO;PP-7084-1;Main Workshop;BASE;3;7084-1
;PP 7084-2 SHORT ELA XS NEGRO;PP-7084-2;Main Workshop;BASE;3;7084-2
;PP 7084-3 SHORT ELA S NEGRO;PP-7084-3;Main Workshop;BASE;3;7084-3
;PP 7084-4 SHORT ELA M NEGRO;PP-7084-4;Main Workshop;BASE;3;7084-4
;PP 7084-5 SHORT ELA L NEGRO;PP-7084-5;Main Workshop;BASE;3;7084-5
;PP 7084-6 SHORT ELA XL NEGRO;PP-7084-6;Main Workshop;BASE;3;7084-6
;PP 7084-7 SHORT ELA 2XL NEGRO;PP-7084-7;Main Workshop;BASE;3;7084-7
;PP 7084-8 SHORT ELA 3XL NEGRO;PP-7084-8;Main Workshop;BASE;3;7084-8
;PP 7084-9 SHORT ELA 4XL NEGRO;PP-7084-9;Main Workshop;BASE;3;7084-9
;PP 7084-10 SHORT ELA 5XL NEGRO;PP-7084-10;Main Workshop;BASE;3;7084-10
;PP 7084-11 SHORT ELA 2XS BEIGE;PP-7084-11;Main Workshop;BASE;3;7084-11
;PP 7084-12 SHORT ELA XS BEIGE;PP-7084-12;Main Workshop;BASE;3;7084-12
;PP 7084-13 SHORT ELA S BEIGE;PP-7084-13;Main Workshop;BASE;3;7084-13
;PP 7084-14 SHORT ELA M BEIGE;PP-7084-14;Main Workshop;BASE;3;7084-14
;PP 7084-15 SHORT ELA L BEIGE;PP-7084-15;Main Workshop;BASE;3;7084-15
;PP 7084-16 SHORT ELA XL BEIGE;PP-7084-16;Main Workshop;BASE;3;7084-16
;PP 7084-17 SHORT ELA 2XL BEIGE;PP-7084-17;Main Workshop;BASE;3;7084-17
;PP 7084-18 SHORT ELA 3XL BEIGE;PP-7084-18;Main Workshop;BASE;3;7084-18
;PP 7084-19 SHORT ELA 4XL BEIGE;PP-7084-19;Main Workshop;BASE;3;7084-19
;PP 7084-20 SHORT ELA 5XL BEIGE;PP-7084-20;Main Workshop;BASE;3;7084-20
;PP 5015-1 PRINCESS 2XS NEGRO;PP-5015-1;Main Workshop;BASE;3;5015-1
;PP 5015-2 PRINCESS XS NEGRO;PP-5015-2;Main Workshop;BASE;3;5015-2
;PP 5015-3 PRINCESS S NEGRO;PP-5015-3;Main Workshop;BASE;3;5015-3
;PP 5015-4 PRINCESS M NEGRO;PP-5015-4;Main Workshop;BASE;3;5015-4
;PP 5015-5 PRINCESS L NEGRO;PP-5015-5;Main Workshop;BASE;3;5015-5
;PP 5015-6 PRINCESS XL NEGRO;PP-5015-6;Main Workshop;BASE;3;5015-6
;PP 5015-7 PRINCESS 2XL NEGRO;PP-5015-7;Main Workshop;BASE;3;5015-7
;PP 5015-8 PRINCESS 3XL NEGRO;PP-5015-8;Main Workshop;BASE;3;5015-8
;PP 5015-9 PRINCESS 4XL NEGRO;PP-5015-9;Main Workshop;BASE;3;5015-9
;PP 5015-10 PRINCESS 5XL NEGRO;PP-5015-10;Main Workshop;BASE;3;5015-10
;PP 5015-11 PRINCESS 2XS BEIGE;PP-5015-11;Main Workshop;BASE;3;5015-11
;PP 5015-12 PRINCESS XS BEIGE;PP-5015-12;Main Workshop;BASE;3;5015-12
;PP 5015-13 PRINCESS S BEIGE;PP-5015-13;Main Workshop;BASE;3;5015-13
;PP 5015-14 PRINCESS M BEIGE;PP-5015-14;Main Workshop;BASE;3;5015-14
;PP 5015-15 PRINCESS L BEIGE;PP-5015-15;Main Workshop;BASE;3;5015-15
;PP 5015-16 PRINCESS XL BEIGE;PP-5015-16;Main Workshop;BASE;3;5015-16
;PP 5015-17 PRINCESS 2XL BEIGE;PP-5015-17;Main Workshop;BASE;3;5015-17
;PP 5015-18 PRINCESS 3XL BEIGE;PP-5015-18;Main Workshop;BASE;3;5015-18
;PP 5015-19 PRINCESS 4XL BEIGE;PP-5015-19;Main Workshop;BASE;3;5015-19
;PP 5015-20 PRINCESS 5XL BEIGE;PP-5015-20;Main Workshop;BASE;3;5015-20
;PP 1061B-1 SENOS LIBRES BRA 2XS NEGRO;PP-1061B-1;Main Workshop;BASE;3;1061B-1
;PP 1061B-2 SENOS LIBRES BRA XS NEGRO;PP-1061B-2;Main Workshop;BASE;3;1061B-2
;PP 1061B-3 SENOS LIBRES BRA S NEGRO;PP-1061B-3;Main Workshop;BASE;3;1061B-3
;PP 1061B-4 SENOS LIBRES BRA M NEGRO;PP-1061B-4;Main Workshop;BASE;3;1061B-4
;PP 1061B-5 SENOS LIBRES BRA L NEGRO;PP-1061B-5;Main Workshop;BASE;3;1061B-5
;PP 1061B-6 SENOS LIBRES BRA XL NEGRO;PP-1061B-6;Main Workshop;BASE;3;1061B-6
;PP 1061B-7 SENOS LIBRES BRA 2XL NEGRO;PP-1061B-7;Main Workshop;BASE;3;1061B-7
;PP 1061B-8 SENOS LIBRES BRA 3XL NEGRO;PP-1061B-8;Main Workshop;BASE;3;1061B-8
;PP 1061B-9 SENOS LIBRES BRA 4XL NEGRO;PP-1061B-9;Main Workshop;BASE;3;1061B-9
;PP 1061B-10 SENOS LIBRES BRA 5XL NEGRO;PP-1061B-10;Main Workshop;BASE;3;1061B-10
;PP 1061B-11 SENOS LIBRES BRA 3XS BEIGE;PP-1061B-11;Main Workshop;BASE;3;1061B-11
;PP 1061B-12 SENOS LIBRES BRA 2XS BEIGE;PP-1061B-12;Main Workshop;BASE;3;1061B-12
;PP 1061B-13 SENOS LIBRES BRA XS BEIGE;PP-1061B-13;Main Workshop;BASE;3;1061B-13
;PP 1061B-14 SENOS LIBRES BRA S BEIGE;PP-1061B-14;Main Workshop;BASE;3;1061B-14
;PP 1061B-15 SENOS LIBRES BRA M BEIGE;PP-1061B-15;Main Workshop;BASE;3;1061B-15
;PP 1061B-16 SENOS LIBRES BRA L BEIGE;PP-1061B-16;Main Workshop;BASE;3;1061B-16
;PP 1061B-17 SENOS LIBRES BRA XL BEIGE;PP-1061B-17;Main Workshop;BASE;3;1061B-17
;PP 1061B-18 SENOS LIBRES BRA 2XL BEIGE;PP-1061B-18;Main Workshop;BASE;3;1061B-18
;PP 1061B-19 SENOS LIBRES BRA 3XL BEIGE;PP-1061B-19;Main Workshop;BASE;3;1061B-19
;PP 1061B-20 SENOS LIBRES BRA 4XL BEIGE;PP-1061B-20;Main Workshop;BASE;3;1061B-20
;PP 1061B-21 SENOS LIBRES BRA 5XL BEIGE;PP-1061B-21;Main Workshop;BASE;3;1061B-21
;PP 5054B-1 LUXURY 2XS NEGRO;PP-5054B-1;Main Workshop;BASE;3;5054B-1
;PP 5054B-2 LUXURY XS NEGRO;PP-5054B-2;Main Workshop;BASE;3;5054B-2
;PP 5054B-3 LUXURY S NEGRO;PP-5054B-3;Main Workshop;BASE;3;5054B-3
;PP 5054B-4 LUXURY M NEGRO;PP-5054B-4;Main Workshop;BASE;3;5054B-4
;PP 5054B-5 LUXURY L NEGRO;PP-5054B-5;Main Workshop;BASE;3;5054B-5
;PP 5054B-6 LUXURY XL NEGRO;PP-5054B-6;Main Workshop;BASE;3;5054B-6
;PP 5054B-7 LUXURY 2XL NEGRO;PP-5054B-7;Main Workshop;BASE;3;5054B-7
;PP 5054B-8 LUXURY 3XL NEGRO;PP-5054B-8;Main Workshop;BASE;3;5054B-8
;PP 5054B-9 LUXURY 4XL NEGRO;PP-5054B-9;Main Workshop;BASE;3;5054B-9
;PP 5054B-10 LUXURY 5XL NEGRO;PP-5054B-10;Main Workshop;BASE;3;5054B-10
;PP 5054B-11 LUXURY 2XS BEIGE;PP-5054B-11;Main Workshop;BASE;3;5054B-11
;PP 5054B-12 LUXURY XS BEIGE;PP-5054B-12;Main Workshop;BASE;3;5054B-12
;PP 5054B-13 LUXURY S BEIGE;PP-5054B-13;Main Workshop;BASE;3;5054B-13
;PP 5054B-14 LUXURY M BEIGE;PP-5054B-14;Main Workshop;BASE;3;5054B-14
;PP 5054B-15 LUXURY L BEIGE;PP-5054B-15;Main Workshop;BASE;3;5054B-15
;PP 5054B-16 LUXURY XL BEIGE;PP-5054B-16;Main Workshop;BASE;3;5054B-16
;PP 5054B-17 LUXURY 2XL BEIGE;PP-5054B-17;Main Workshop;BASE;3;5054B-17
;PP 5054B-18 LUXURY 3XL BEIGE;PP-5054B-18;Main Workshop;BASE;3;5054B-18
;PP 5054B-19 LUXURY 4XL BEIGE;PP-5054B-19;Main Workshop;BASE;3;5054B-19
;PP 5054B-20 LUXURY 5XL BEIGE;PP-5054B-20;Main Workshop;BASE;3;5054B-20
;PP 1565-1 MAGIC STRAPLES 2XS NEGRO;PP-1565-1;Main Workshop;BASE;3;1565-1
;PP 1565-2 MAGIC STRAPLES XS NEGRO;PP-1565-2;Main Workshop;BASE;3;1565-2
;PP 1565-3 MAGIC STRAPLES S NEGRO;PP-1565-3;Main Workshop;BASE;3;1565-3
;PP 1565-4 MAGIC STRAPLES M NEGRO;PP-1565-4;Main Workshop;BASE;3;1565-4
;PP 1565-5 MAGIC STRAPLES L NEGRO;PP-1565-5;Main Workshop;BASE;3;1565-5
;PP 1565-6 MAGIC STRAPLES XL NEGRO;PP-1565-6;Main Workshop;BASE;3;1565-6
;PP 1565-7 MAGIC STRAPLES 2XL NEGRO;PP-1565-7;Main Workshop;BASE;3;1565-7
;PP 1565-8 MAGIC STRAPLES 3XL NEGRO;PP-1565-8;Main Workshop;BASE;3;1565-8
